Species	TE	location	chr	length	len_proportion
Dmau	5.8S	Contig57	U	124	1.008130081
Dmau	5.8S	Contig57	U	124	1.008130081
Dmau	5.8S	Contig57	U	124	1.008130081
Dmau	5.8S	Contig57	U	124	1.008130081
Dmau	5.8S	Contig57	U	124	1.008130081
Dmau	5.8S	Contig62	U	124	1.008130081
Dmau	5.8S	Contig62	U	124	1.008130081
Dmau	5.8S	Contig62	U	124	1.008130081
Dmau	5.8S	Contig62	U	124	1.008130081
Dmau	5.8S	Contig62	U	124	1.008130081
Dmau	5.8S	Contig63	U	124	1.008130081
Dmau	5.8S	Contig63	U	124	1.008130081
Dmau	5.8S	Contig65	U	124	1.008130081
Dmau	5.8S	Contig65	U	124	1.008130081
Dmau	5.8S	Contig65	U	124	1.008130081
Dmau	5.8S	Contig65	U	124	1.008130081
Dmau	5.8S	Contig65	U	124	1.008130081
Dmau	5.8S	Contig65	U	124	1.008130081
Dmau	5.8S	Contig66	U	124	1.008130081
Dmau	5.8S	Contig66	U	124	1.008130081
Dmau	5.8S	Contig66	U	124	1.008130081
Dmau	5.8S	Contig67	U	125	1.016260163
Dmau	5.8S	Contig67	U	124	1.008130081
Dmau	5.8S	Contig67	U	124	1.008130081
Dmau	5.8S	Contig67	U	124	1.008130081
Dmau	5.8S	Contig67	U	124	1.008130081
Dmau	5.8S	Contig68	U	124	1.008130081
Dmau	5.8S	Contig68	U	124	1.008130081
Dmau	5.8S	Contig69	U	124	1.008130081
Dmau	5.8S	Contig69	U	124	1.008130081
Dmau	5.8S	Contig69	U	124	1.008130081
Dmau	5.8S	Contig69	U	124	1.008130081
Dmau	5.8S	Contig69	U	124	1.008130081
Dmau	5.8S	Contig70	U	124	1.008130081
Dmau	5.8S	Contig74	U	124	1.008130081
Dmau	5.8S	Contig74	U	124	1.008130081
Dmau	5.8S	Contig75	U	124	1.008130081
Dmau	5.8S	Contig75	U	124	1.008130081
Dmau	5.8S	Contig75	U	124	1.008130081
Dmau	5.8S	Contig75	U	124	1.008130081
Dmau	5.8S	Contig75	U	123	1
Dmau	5.8S	Contig79	U	124	1.008130081
Dmau	5.8S	Contig79	U	124	1.008130081
Dmau	5.8S	Contig79	U	123	1
Dmau	5.8S	Contig84	U	124	1.008130081
Dmau	5.8S	Contig84	U	124	1.008130081
Dmau	5.8S	Contig84	U	124	1.008130081
Dmau	5.8S	Y_Contig100	Y	124	1.008130081
Dmau	5.8S	Y_Contig106	Y	124	1.008130081
Dmau	5.8S	Y_Contig106	Y	124	1.008130081
Dmau	5.8S	Y_Contig106	Y	124	1.008130081
Dmau	5.8S	Y_Contig108	Y	123	1
Dmau	5.8S	Y_Contig108	Y	124	1.008130081
Dmau	5.8S	Y_Contig108	Y	124	1.008130081
Dmau	5.8S	Y_Contig108	Y	124	1.008130081
Dmau	5.8S	Y_Contig108	Y	124	1.008130081
Dmau	5.8S	Y_Contig117	Y	124	1.008130081
Dmau	5.8S	Y_Contig117	Y	124	1.008130081
Dmau	5.8S	Y_Contig117	Y	124	1.008130081
Dmau	5.8S	Y_Contig117	Y	124	1.008130081
Dmau	5.8S	Y_Contig118	Y	124	1.008130081
Dmau	5.8S	Y_Contig118	Y	124	1.008130081
Dmau	5.8S	Y_Contig122	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig15	Y	124	1.008130081
Dmau	5.8S	Y_Contig21	Y	124	1.008130081
Dmau	5.8S	Y_Contig21	Y	124	1.008130081
Dmau	5.8S	Y_Contig21	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig23	Y	124	1.008130081
Dmau	5.8S	Y_Contig27	Y	119	0.967479675
Dmau	5.8S	Y_Contig27	Y	124	1.008130081
Dmau	5.8S	Y_Contig27	Y	124	1.008130081
Dmau	5.8S	Y_Contig27	Y	124	1.008130081
Dmau	5.8S	Y_Contig27	Y	124	1.008130081
Dmau	5.8S	Y_Contig27	Y	124	1.008130081
Dmau	5.8S	Y_Contig29	Y	124	1.008130081
Dmau	5.8S	Y_Contig29	Y	124	1.008130081
Dmau	5.8S	Y_Contig29	Y	124	1.008130081
Dmau	5.8S	Y_Contig42	Y	124	1.008130081
Dmau	5.8S	Y_Contig42	Y	124	1.008130081
Dmau	5.8S	Y_Contig42	Y	124	1.008130081
Dmau	5.8S	Y_Contig50	Y	124	1.008130081
Dmau	5.8S	Y_Contig50	Y	124	1.008130081
Dmau	5.8S	Y_Contig71	Y	124	1.008130081
Dmau	5.8S	Y_Contig71	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig73	Y	124	1.008130081
Dmau	5.8S	Y_Contig80	Y	124	1.008130081
Dmau	5.8S	Y_Contig80	Y	124	1.008130081
Dmau	5.8S	Y_Contig80	Y	124	1.008130081
Dmau	5.8S	Y_Contig93	Y	124	1.008130081
Dmau	5.8S	Y_Contig93	Y	124	1.008130081
Dmau	5.8S	Y_Contig93	Y	124	1.008130081
Dmau	5.8S	Y_Contig93	Y	124	1.008130081
Dmau	5.8S	Y_Contig93	Y	124	1.008130081
Dmau	5.8S	Y_Contig95	Y	124	1.008130081
Dmau	5.8S	Y_Contig95	Y	124	1.008130081
Dmau	5.8S	Y_Contig95	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold2	Y	124	1.008130081
Dmau	5.8S	Y_scaffold4	Y	124	1.008130081
Dmau	5.8S	Y_scaffold4	Y	124	1.008130081
Dmau	5.8S	Y_scaffold4	Y	124	1.008130081
Dmau	5.8S	Y_scaffold4	Y	124	1.008130081
Dmel	5.8S	Contig111	U	121	0.983739837
Dmel	5.8S	Contig111	U	124	1.008130081
Dmel	5.8S	Contig111	U	124	1.008130081
Dmel	5.8S	Contig112	U	124	1.008130081
Dmel	5.8S	Contig112	U	124	1.008130081
Dmel	5.8S	Contig112	U	124	1.008130081
Dmel	5.8S	Contig112	U	124	1.008130081
Dmel	5.8S	Contig114	U	124	1.008130081
Dmel	5.8S	Contig114	U	124	1.008130081
Dmel	5.8S	Contig114	U	124	1.008130081
Dmel	5.8S	Contig114	U	124	1.008130081
Dmel	5.8S	Contig114	U	124	1.008130081
Dmel	5.8S	Contig117	U	124	1.008130081
Dmel	5.8S	Contig117	U	124	1.008130081
Dmel	5.8S	Contig121	U	124	1.008130081
Dmel	5.8S	Contig121	U	124	1.008130081
Dmel	5.8S	Contig123	U	124	1.008130081
Dmel	5.8S	Contig123	U	124	1.008130081
Dmel	5.8S	Contig128	U	124	1.008130081
Dmel	5.8S	Contig128	U	124	1.008130081
Dmel	5.8S	Contig135	X	124	1.008130081
Dmel	5.8S	Contig135	X	124	1.008130081
Dmel	5.8S	Contig135	X	124	1.008130081
Dmel	5.8S	Contig135	X	124	1.008130081
Dmel	5.8S	Contig135	X	124	1.008130081
Dmel	5.8S	Contig147	U	124	1.008130081
Dmel	5.8S	Contig147	U	124	1.008130081
Dmel	5.8S	Contig147	U	124	1.008130081
Dmel	5.8S	Contig147	U	124	1.008130081
Dmel	5.8S	Contig147	U	124	1.008130081
Dmel	5.8S	Contig149	U	124	1.008130081
Dmel	5.8S	Contig149	U	124	1.008130081
Dmel	5.8S	Contig149	U	124	1.008130081
Dmel	5.8S	Contig149	U	124	1.008130081
Dmel	5.8S	Contig149	U	124	1.008130081
Dmel	5.8S	Contig149	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig150	U	124	1.008130081
Dmel	5.8S	Contig151	U	124	1.008130081
Dmel	5.8S	Contig151	U	124	1.008130081
Dmel	5.8S	Contig157	U	117	0.951219512
Dmel	5.8S	Contig157	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig36	U	124	1.008130081
Dmel	5.8S	Contig37	U	124	1.008130081
Dmel	5.8S	Contig37	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	123	1
Dmel	5.8S	Contig38	U	123	1
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	122	0.991869919
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig38	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig39	U	124	1.008130081
Dmel	5.8S	Contig41	U	124	1.008130081
Dmel	5.8S	Contig41	U	125	1.016260163
Dmel	5.8S	Contig42	U	125	1.016260163
Dmel	5.8S	Contig42	U	124	1.008130081
Dmel	5.8S	Contig42	U	124	1.008130081
Dmel	5.8S	Contig43	U	124	1.008130081
Dmel	5.8S	Contig43	U	124	1.008130081
Dmel	5.8S	Contig43	U	124	1.008130081
Dmel	5.8S	Contig45	U	124	1.008130081
Dmel	5.8S	Contig45	U	124	1.008130081
Dmel	5.8S	Contig45	U	124	1.008130081
Dmel	5.8S	Contig45	U	124	1.008130081
Dmel	5.8S	Contig46	U	124	1.008130081
Dmel	5.8S	Contig46	U	124	1.008130081
Dmel	5.8S	Contig46	U	124	1.008130081
Dmel	5.8S	Contig46	U	123	1
Dmel	5.8S	Contig47	U	124	1.008130081
Dmel	5.8S	Contig47	U	124	1.008130081
Dmel	5.8S	Contig47	U	65	0.528455285
Dmel	5.8S	Contig49	U	124	1.008130081
Dmel	5.8S	Contig49	U	124	1.008130081
Dmel	5.8S	Contig49	U	124	1.008130081
Dmel	5.8S	Contig5	X	124	1.008130081
Dmel	5.8S	Contig5	X	124	1.008130081
Dmel	5.8S	Contig5	X	124	1.008130081
Dmel	5.8S	Contig5	X	124	1.008130081
Dmel	5.8S	Contig50	U	124	1.008130081
Dmel	5.8S	Contig50	U	124	1.008130081
Dmel	5.8S	Contig50	U	124	1.008130081
Dmel	5.8S	Contig50	U	124	1.008130081
Dmel	5.8S	Contig50	U	124	1.008130081
Dmel	5.8S	Contig51	U	124	1.008130081
Dmel	5.8S	Contig51	U	124	1.008130081
Dmel	5.8S	Contig53	U	124	1.008130081
Dmel	5.8S	Contig53	U	124	1.008130081
Dmel	5.8S	Contig53	U	124	1.008130081
Dmel	5.8S	Contig54	U	122	0.991869919
Dmel	5.8S	Contig54	U	124	1.008130081
Dmel	5.8S	Contig54	U	124	1.008130081
Dmel	5.8S	Contig54	U	124	1.008130081
Dmel	5.8S	Contig56	U	124	1.008130081
Dmel	5.8S	Contig56	U	124	1.008130081
Dmel	5.8S	Contig57	U	124	1.008130081
Dmel	5.8S	Contig57	U	124	1.008130081
Dmel	5.8S	Contig57	U	124	1.008130081
Dmel	5.8S	Contig58	U	124	1.008130081
Dmel	5.8S	Contig58	U	124	1.008130081
Dmel	5.8S	Contig59	U	124	1.008130081
Dmel	5.8S	Contig59	U	124	1.008130081
Dmel	5.8S	Contig59	U	124	1.008130081
Dmel	5.8S	Contig59	U	124	1.008130081
Dmel	5.8S	Contig61	U	124	1.008130081
Dmel	5.8S	Contig61	U	124	1.008130081
Dmel	5.8S	Contig61	U	124	1.008130081
Dmel	5.8S	Contig62	U	124	1.008130081
Dmel	5.8S	Contig62	U	124	1.008130081
Dmel	5.8S	Contig62	U	124	1.008130081
Dmel	5.8S	Contig62	U	124	1.008130081
Dmel	5.8S	Contig63	U	124	1.008130081
Dmel	5.8S	Contig63	U	124	1.008130081
Dmel	5.8S	Contig64	U	124	1.008130081
Dmel	5.8S	Contig64	U	124	1.008130081
Dmel	5.8S	Contig66	U	124	1.008130081
Dmel	5.8S	Contig66	U	124	1.008130081
Dmel	5.8S	Contig66	U	121	0.983739837
Dmel	5.8S	Contig69	U	124	1.008130081
Dmel	5.8S	Contig69	U	124	1.008130081
Dmel	5.8S	Contig72	U	124	1.008130081
Dmel	5.8S	Contig72	U	124	1.008130081
Dmel	5.8S	Contig72	U	124	1.008130081
Dmel	5.8S	id=104983_0	U	124	1.008130081
Dmel	5.8S	id=130011_0	U	123	1
Dmel	5.8S	id=134134_0	U	126	1.024390244
Dmel	5.8S	id=134699_0	U	149	1.211382114
Dmel	5.8S	X_10	X	124	1.008130081
Dmel	5.8S	Y_Contig113	Y	124	1.008130081
Dmel	5.8S	Y_Contig113	Y	124	1.008130081
Dmel	5.8S	Y_Contig113	Y	124	1.008130081
Dmel	5.8S	Y_Contig122	Y	124	1.008130081
Dmel	5.8S	Y_Contig122	Y	124	1.008130081
Dmel	5.8S	Y_Contig122	Y	124	1.008130081
Dmel	5.8S	Y_Contig122	Y	124	1.008130081
Dmel	5.8S	Y_Contig122	Y	126	1.024390244
Dmel	5.8S	Y_Contig2	Y	124	1.008130081
Dmel	5.8S	Y_Contig2	Y	124	1.008130081
Dmel	5.8S	Y_Contig2	Y	124	1.008130081
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	48	0.390243902
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig26	Y	48	0.390243902
Dmel	5.8S	Y_Contig26	Y	48	0.390243902
Dmel	5.8S	Y_Contig26	Y	48	0.390243902
Dmel	5.8S	Y_Contig26	Y	48	0.390243902
Dmel	5.8S	Y_Contig26	Y	49	0.398373984
Dmel	5.8S	Y_Contig32	Y	124	1.008130081
Dmel	5.8S	Y_Contig32	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	121	0.983739837
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	124	1.008130081
Dmel	5.8S	Y_Contig33	Y	122	0.991869919
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	125	1.016260163
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	122	0.991869919
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig35	Y	124	1.008130081
Dmel	5.8S	Y_Contig40	Y	124	1.008130081
Dmel	5.8S	Y_Contig40	Y	124	1.008130081
Dmel	5.8S	Y_Contig40	Y	124	1.008130081
Dmel	5.8S	Y_Contig44	Y	124	1.008130081
Dmel	5.8S	Y_Contig44	Y	124	1.008130081
Dmel	5.8S	Y_Contig48	Y	124	1.008130081
Dmel	5.8S	Y_Contig48	Y	124	1.008130081
Dmel	5.8S	Y_Contig48	Y	124	1.008130081
Dmel	5.8S	Y_Contig48	Y	124	1.008130081
Dmel	5.8S	Y_Contig65	Y	124	1.008130081
Dmel	5.8S	Y_Contig65	Y	124	1.008130081
Dmel	5.8S	Y_Contig65	Y	124	1.008130081
Dmel	5.8S	Y_Contig65	Y	124	1.008130081
Dmel	5.8S	Y_scaffold7	Y	124	1.008130081
Dmel	5.8S	Y_scaffold7	Y	125	1.016260163
Dsech	5.8S	Contig11	U	124	1.008130081
Dsech	5.8S	Contig11	U	124	1.008130081
Dsech	5.8S	Contig11	U	124	1.008130081
Dsech	5.8S	Contig11	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	125	1.016260163
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig121	U	124	1.008130081
Dsech	5.8S	Contig122	U	124	1.008130081
Dsech	5.8S	Contig122	U	124	1.008130081
Dsech	5.8S	Contig122	U	124	1.008130081
Dsech	5.8S	Contig122	U	124	1.008130081
Dsech	5.8S	Contig122	U	124	1.008130081
Dsech	5.8S	Contig122	U	124	1.008130081
Dsech	5.8S	Contig123	U	124	1.008130081
Dsech	5.8S	Contig123	U	124	1.008130081
Dsech	5.8S	Contig123	U	124	1.008130081
Dsech	5.8S	Contig123	U	124	1.008130081
Dsech	5.8S	Contig124	U	124	1.008130081
Dsech	5.8S	Contig124	U	124	1.008130081
Dsech	5.8S	Contig124	U	125	1.016260163
Dsech	5.8S	Contig124	U	124	1.008130081
Dsech	5.8S	Contig124	U	124	1.008130081
Dsech	5.8S	Contig124	U	123	1
Dsech	5.8S	Contig126	U	124	1.008130081
Dsech	5.8S	Contig126	U	124	1.008130081
Dsech	5.8S	Contig126	U	124	1.008130081
Dsech	5.8S	Contig13	U	124	1.008130081
Dsech	5.8S	Contig13	U	124	1.008130081
Dsech	5.8S	Contig13	U	124	1.008130081
Dsech	5.8S	Contig13	U	124	1.008130081
Dsech	5.8S	Contig13	U	124	1.008130081
Dsech	5.8S	Contig131	U	124	1.008130081
Dsech	5.8S	Contig133	U	124	1.008130081
Dsech	5.8S	Contig133	U	124	1.008130081
Dsech	5.8S	Contig133	U	124	1.008130081
Dsech	5.8S	Contig133	U	124	1.008130081
Dsech	5.8S	Contig133	U	124	1.008130081
Dsech	5.8S	Contig134	U	124	1.008130081
Dsech	5.8S	Contig134	U	124	1.008130081
Dsech	5.8S	Contig134	U	124	1.008130081
Dsech	5.8S	Contig136	U	124	1.008130081
Dsech	5.8S	Contig136	U	124	1.008130081
Dsech	5.8S	Contig136	U	124	1.008130081
Dsech	5.8S	Contig136	U	124	1.008130081
Dsech	5.8S	Contig138	U	123	1
Dsech	5.8S	Contig138	U	124	1.008130081
Dsech	5.8S	Contig139	U	124	1.008130081
Dsech	5.8S	Contig142	U	124	1.008130081
Dsech	5.8S	Contig142	U	124	1.008130081
Dsech	5.8S	Contig142	U	124	1.008130081
Dsech	5.8S	Contig142	U	124	1.008130081
Dsech	5.8S	Contig142	U	124	1.008130081
Dsech	5.8S	Contig142	U	123	1
Dsech	5.8S	Contig142	U	123	1
Dsech	5.8S	Contig143	U	125	1.016260163
Dsech	5.8S	Contig147	U	124	1.008130081
Dsech	5.8S	Contig147	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig15	U	124	1.008130081
Dsech	5.8S	Contig16	U	124	1.008130081
Dsech	5.8S	Contig16	U	124	1.008130081
Dsech	5.8S	Contig16	U	124	1.008130081
Dsech	5.8S	Contig16	U	124	1.008130081
Dsech	5.8S	Contig18	U	124	1.008130081
Dsech	5.8S	Contig18	U	124	1.008130081
Dsech	5.8S	Contig18	U	124	1.008130081
Dsech	5.8S	Contig18	U	124	1.008130081
